NUMBER,DATE,YEAR,MONTH,DAY,ORGAN,TEAM,KIND1,PLACE,KIND2,KEYWORD,PLACE_DETAIL,ROAD_MILESTONE,ROAD,MILESTONE,LATITUDE,LONGITUDE,CHANNEL,REASON
2023020142,2023-10-30 9:46,2023,10,30,광주지사,도로안전팀,유지보수,용봉IC(77.03),시설,방음터널 설치요청,용봉IC,논산천안선/호남선77,논산천안선/호남선,77,35.18445778,126.8952407, 홈페이지(전자민원) , 시설환경 
2023020141,2023-10-30 9:45,2023,10,30,광주지사,도로안전팀,유지보수,용봉IC(77.03),시설,방음터널 설치요청,용봉IC,논산천안선/호남선77,논산천안선/호남선,77,35.18445778,126.8952407, 홈페이지(전자민원) , 시설환경 
2023020135,2023-10-30 9:41,2023,10,30,순천지사,도로안전팀,유지보수,동광양IC(17.72),도로,포트홀 보수요청,동광양IC,남해선(순천부산)17,남해선(순천부산),17,34.96567256,127.6445887, 안전신문고 , 시설환경 
2023020103,2023-10-27 15:49,2023,10,27,광주전남본부,고객팀,기타,,기타,보상관련 정보공개 요구,"장성-담양건설공사
미보상건",,,  ,,, 정보공개(포털) , 기타요인 
2023020080,2023-10-27 14:25,2023,10,27,함평지사,도로안전팀,유지보수,함평JCT(9.56),시설,충격흡수시설 보수 요청,항평 JCT 부근,무안광주선9.5,무안광주선,9.5,35.02917738,126.484325, 안전신문고 , 시설환경 
2023020059,2023-10-27 11:32,2023,10,27,구례지사,교통안전팀,기타,,기타,고속도로 노선 교통사고영상 공개요구,오수2터널,순천완주선79.2,순천완주선,79.2,35.5830188,127.3224485, 정보공개(포털) , 기타요인 
2023020045,2023-10-26 18:01,2023,10,26,광주전남본부,고객팀,유지보수,,도로,-,,,,  ,,, 국민신문고 , 시설환경 
2023020032,2023-10-26 15:39,2023,10,26,함평지사,고객지원팀,기타,,기타,-,,,,  ,,, 정보공개(포털) , 기타요인 
2023020006,2023-10-26 13:29,2023,10,26,광주전남본부,고객팀,유지보수,,도로,-,,,,  ,,, 안전신문고 , 시설환경 
2023020005,2023-10-26 13:29,2023,10,26,광주전남본부,고객팀,유지보수,,도로,-,,,,  ,,, 안전신문고 , 시설환경 
2023020004,2023-10-26 13:27,2023,10,26,광주지사,교통안전팀,교통,동림IC(80.45),기타,"교통 CCTV 자료
공개요구",동림IC,논산천안선/호남선80.6,논산천안선/호남선,80.6,35.19266986,126.859015, 국민신문고 , 전산시스템 
2023019997,2023-10-26 11:28,2023,10,26,보성지사,도로안전팀,유지보수,공통,시설,차선규제봉 정비요구,남해선(영암-순천),,,  ,,, 안전신문고 , 시설환경 
2023019996,2023-10-26 11:27,2023,10,26,보성지사,도로안전팀,유지보수,공통,시설,차선규제봉 정비요구,남해선(영암-순천),,,  ,,, 안전신문고 , 시설환경 
2023019950,2023-10-25 17:55,2023,10,25,보성지사,도로안전팀,유지보수,공통,시설,차선규제봉 정비요구,남해선(영암-순천),,,  ,,, 안전신문고 , 시설환경 
2023019949,2023-10-25 17:54,2023,10,25,보성지사,도로안전팀,유지보수,공통,시설,차선규제봉 정비요구,남해선(영암-순천),,,  ,,, 안전신문고 , 시설환경 
2023019887,2023-10-24 17:48,2023,10,24,순천지사,교통안전팀,손해배상,공통,차량피해,노선 낙하물로 인한 차량피해 보상요청,순천2터널(순천),논산천안선/호남선4.5,논산천안선/호남선,4.5,35.01184232,127.4345548, 홈페이지(전자민원) , 시설환경 
2023019803,2023-10-23 9:11,2023,10,23,보성지사,고객지원팀,영업,공통,휴게소,휴게소 흡연장소 외 흡연 불만,보성녹차휴게소(순천),남해선(영암순천)68.1,남해선(영암순천),68.1,34.80812991,127.1807833, 홈페이지(전자민원) , 고객요인 
2023019777,2023-10-20 15:43,2023,10,20,함평지사,고객지원팀,영업,함평나비(11.4),휴게소,"휴게소내 매장 직원 
불친절","함평나비휴게소(무안)
탐앤탐스 커피숍",무안광주선12.1,무안광주선,12.1,35.03789346,126.5105095, 홈페이지(전자민원) , 직원요인 
2023019772,2023-10-20 13:39,2023,10,20,광주지사,교통안전팀,유지보수,금성교(대구(13.51)),시설,"가변속도표지판 광량 불만
개선요구",금성교(대구),광주대구선18.2,광주대구선,18.2,35.32452722,127.0257179, 국민신문고 , 시설환경 
2023019760,2023-10-20 8:54,2023,10,20,보성지사,고객지원팀,영업,공통,휴게소,"휴게소내 셀프정비 코너
진공청소기 고장
(흡입력 약함)",보성녹차휴게소(영암),남해선(영암순천)63,남해선(영암순천),63,34.81318189,127.1267648, 홈페이지(전자민원) , 시설환경 
2023019676,2023-10-19 9:58,2023,10,19,함평지사,도로안전팀,유지보수,이정입력,도로,노선잡물 청소요청,"무안광주선
(함평-광주간)",,,  ,,, 안전신문고 , 시설환경 
2023019665,2023-10-19 8:53,2023,10,19,보성지사,도로안전팀,유지보수,장흥IC(37.386),시설,이정표지판 정비요청,장흥IC(영암) 진출부,남해선(영암순천)37.3,남해선(영암순천),37.3,34.70365169,126.8973229, 안전신문고 , 시설환경 
2023019664,2023-10-19 8:48,2023,10,19,함평지사,도로안전팀,유지보수,동광산영업소(38.24),도로,포트홀보수요청,동광산IC (광주) 입구,무안광주선38.2,무안광주선,38.2,35.14399025,126.753203, 안전신문고 , 시설환경 
2023019600,2023-10-18 9:13,2023,10,18,광주지사,교통안전팀,교통,동광주영업소(69.5),단속,화물차 하이패스 및 축중차로 위반 제보,동광주IC,논산천안선/호남선69.5,논산천안선/호남선,69.5,35.21647377,126.9485348, 국민신문고 , 고객요인 
2023019596,2023-10-18 8:58,2023,10,18,광주지사,도로안전팀,유지보수,,도로,-,,,,  ,,, 안전신문고 , 시설환경 
2023019595,2023-10-18 8:57,2023,10,18,광주지사,도로안전팀,유지보수,공통,시설,방음벽 보수요청,서광주IC,논산천안선/호남선78.4,논산천안선/호남선,78.4,35.18532108,126.8799199, 안전신문고 , 시설환경 
2023019565,2023-10-17 15:44,2023,10,17,담양지사,고객지원팀,영업,곡성(49),휴게소,"휴게소 열린매장 
키오스크 고객안내 불만",곡성휴게소(천안),논산천안선/호남선49.1,논산천안선/호남선,49.1,35.25954049,127.1488213, 홈페이지(전자민원) , 직원요인 
